year,rank,team,G,W,L,D,WPCT,GB
2012,8,Hanwha Eagles,133.0,53.0,77.0,0,0.408,
2013,1,Samsung Lions,128.0,75.0,51.0,0,0.595,
2013,2,LG Twins,128.0,74.0,54.0,0,0.578,
2013,3,Nexen Heroes,128.0,72.0,54.0,0,0.571,
2013,4,Doosan Bears,128.0,71.0,54.0,0,0.568,
2013,5,Lotte Giants,128.0,66.0,58.0,0,0.532,
2013,6,SK Wyverns,128.0,62.0,63.0,0,0.496,
2013,7,NC Dinos,128.0,52.0,72.0,0,0.419,
2013,8,Kia Tigers,128.0,51.0,74.0,0,0.408,
2013,9,Hanwha Eagles,128.0,42.0,85.0,0,0.331,
2014,1,Samsung Lions,128.0,78.0,47.0,0,0.624,
2014,2,Nexen Heroes,128.0,78.0,48.0,0,0.619,
2014,3,NC Dinos,128.0,70.0,57.0,0,0.551,
2014,4,LG Twins,128.0,62.0,64.0,0,0.492,
2014,5,SK Wyverns,128.0,61.0,65.0,0,0.484,
2014,6,Doosan Bears,128.0,59.0,68.0,0,0.465,
2014,7,Lotte Giants,128.0,58.0,69.0,0,0.457,
2014,8,Kia Tigers,128.0,54.0,74.0,0,0.422,
2014,9,Hanwha Eagles,128.0,49.0,77.0,0,0.389,
2015,1,Samsung Lions,144.0,88.0,56.0,0,0.611,
2015,2,NC Dinos,144.0,84.0,57.0,0,0.596,
2015,3,Doosan Bears,144.0,79.0,65.0,0,0.549,
2015,4,Nexen Heroes,144.0,78.0,65.0,0,0.545,
2015,5,SK Wyverns,144.0,69.0,73.0,0,0.486,
2015,6,Hanwha Eagles,144.0,68.0,76.0,0,0.472,
2015,7,Kia Tigers,144.0,67.0,77.0,0,0.465,
2015,8,Lotte Giants,144.0,66.0,77.0,0,0.462,
2015,9,LG Twins,144.0,64.0,78.0,0,0.451,
2015,10,KT Wiz,144.0,52.0,91.0,0,0.364,
2016,1,Doosan Bears,144.0,93.0,50.0,0,0.65,
2016,2,NC Dinos,144.0,83.0,58.0,0,0.589,
2016,3,Nexen Heroes,144.0,77.0,66.0,0,0.538,
2016,4,LG Twins,144.0,71.0,71.0,0,0.5,
2016,5,Kia Tigers,144.0,70.0,73.0,0,0.49,
2016,6,SK Wyverns,144.0,69.0,75.0,0,0.479,
2016,7,Hanwha Eagles,144.0,66.0,75.0,0,0.468,
2016,8,Lotte Giants,144.0,66.0,78.0,0,0.458,
2016,9,Samsung Lions,144.0,65.0,78.0,0,0.455,
2016,10,KT Wiz,144.0,53.0,89.0,0,0.373,
2017,1,Kia Tigers,144.0,87.0,56.0,0,0.608,
2017,2,Doosan Bears,144.0,84.0,57.0,0,0.596,
2017,3,Lotte Giants,144.0,80.0,62.0,0,0.563,
2017,4,NC Dinos,144.0,79.0,62.0,0,0.56,
2017,5,SK Wyverns,144.0,75.0,68.0,0,0.524,
2017,6,LG Twins,144.0,69.0,72.0,0,0.489,
2017,7,Nexen Heroes,144.0,69.0,73.0,0,0.486,
2017,8,Hanwha Eagles,144.0,61.0,81.0,0,0.43,
2017,9,Samsung Lions,144.0,55.0,84.0,0,0.396,
2017,10,KT Wiz,144.0,50.0,94.0,0,0.347,
2018,1,Doosan Bears,144.0,93.0,51.0,0,0.646,
2018,2,SK Wyverns,144.0,78.0,65.0,0,0.545,
2018,3,Hanwha Eagles,144.0,77.0,67.0,0,0.535,
2018,4,Nexen Heroes,144.0,75.0,69.0,0,0.521,
2018,5,Kia Tigers,144.0,70.0,74.0,0,0.486,
2018,5,Samsung Lions,144.0,68.0,72.0,0,0.486,
2018,7,Lotte Giants,144.0,68.0,74.0,0,0.479,
2018,8,LG Twins,144.0,68.0,75.0,0,0.476,
2018,9,KT Wiz,144.0,59.0,82.0,0,0.418,
2018,10,NC Dinos,144.0,58.0,85.0,0,0.406,
2019,1,Doosan Bears,144.0,88.0,55.0,0,0.615,
2019,1,SK Wyverns,144.0,88.0,55.0,0,0.615,
2019,3,Kiwoom Heroes,144.0,86.0,57.0,0,0.601,
2019,4,LG Twins,144.0,79.0,64.0,0,0.552,
2019,5,NC Dinos,144.0,73.0,69.0,0,0.514,
2019,6,KT Wiz,144.0,71.0,71.0,0,0.5,
2019,7,Kia Tigers,144.0,62.0,80.0,0,0.437,
2019,8,Samsung Lions,144.0,60.0,83.0,0,0.42,
2019,9,Hanwha Eagles,144.0,58.0,86.0,0,0.403,
2019,10,Lotte Giants,144.0,48.0,93.0,0,0.34,
2020,1,NC Dinos,144.0,83.0,55.0,0,0.601,
2020,2,KT Wiz,144.0,81.0,62.0,0,0.566,
2020,3,Doosan Bears,144.0,79.0,61.0,0,0.564,
2020,3,LG Twins,144.0,79.0,61.0,0,0.564,
2020,5,Kiwoom Heroes,144.0,80.0,63.0,0,0.559,
2020,6,Kia Tigers,144.0,73.0,71.0,0,0.507,
2020,7,Lotte Giants,144.0,71.0,72.0,0,0.497,
2020,8,Samsung Lions,144.0,64.0,75.0,0,0.46,
2020,9,SK Wyverns,144.0,51.0,92.0,0,0.357,
2020,10,Hanwha Eagles,144.0,46.0,95.0,0,0.326,
2021,1,KT Wiz,144.0,76.0,59.0,9,0.563,0.0
2021,2,Samsung Lions,144.0,76.0,59.0,9,0.563,0.0
2021,3,LG Twins,144.0,72.0,58.0,14,0.554,1.5
2021,4,Doosan Bears,144.0,71.0,65.0,8,0.522,5.5
2021,5,Kiwoom Heroes,144.0,70.0,67.0,7,0.511,7.0
2021,6,SSG Landers,144.0,66.0,64.0,14,0.508,7.5
2021,7,NC Dinos,144.0,67.0,68.0,9,0.496,9.0
2021,8,Lotte Giants,144.0,65.0,71.0,8,0.478,11.5
2021,9,Kia Tigers,144.0,58.0,76.0,10,0.433,17.5
2021,10,Hanwha Eagles,144.0,49.0,83.0,12,0.371,25.5
2022,1,SSG Landers,144.0,88.0,52.0,4,0.629,0.0
2022,2,LG Twins,144.0,87.0,55.0,2,0.613,2.0
2022,3,Kiwoom Heroes,144.0,80.0,62.0,2,0.563,9.0
2022,4,KT Wiz,144.0,80.0,62.0,2,0.563,9.0
2022,5,Kia Tigers,144.0,70.0,73.0,1,0.49,19.5
2022,6,NC Dinos,144.0,67.0,74.0,3,0.475,21.5
2022,7,Samsung Lions,144.0,66.0,76.0,2,0.465,23.0
2022,8,Lotte Giants,144.0,64.0,76.0,4,0.457,24.0
2022,9,Doosan Bears,144.0,60.0,82.0,2,0.423,29.0
2022,10,Hanwha Eagles,144.0,46.0,96.0,2,0.324,43.0
2023,1,LG Twins,144.0,86.0,56.0,2,0.606,0.0
2023,2,KT Wiz,144.0,79.0,62.0,3,0.56,6.5
2023,3,SSG Landers,144.0,76.0,65.0,3,0.539,9.5
2023,4,NC Dinos,144.0,75.0,67.0,2,0.528,11.0
2023,5,Doosan Bears,144.0,74.0,68.0,2,0.521,12.0
2023,6,Kia Tigers,144.0,73.0,69.0,2,0.514,13.0
2023,7,Lotte Giants,144.0,68.0,76.0,0,0.472,19.0
2023,8,Samsung Lions,144.0,61.0,82.0,1,0.427,25.5
2023,9,Hanwha Eagles,144.0,58.0,80.0,6,0.42,26.0
2023,10,Kiwoom Heroes,144.0,58.0,83.0,3,0.411,27.5
2024,1,Kia Tigers,144.0,87.0,55.0,2,0.613,0.0
2024,2,Samsung Lions,144.0,78.0,64.0,2,0.549,9.0
2024,3,LG Twins,144.0,76.0,66.0,2,0.535,11.0
2024,4,Doosan Bears,144.0,74.0,68.0,2,0.521,13.0
2024,5,KT Wiz,144.0,72.0,70.0,2,0.507,15.0
2024,6,SSG Landers,144.0,72.0,70.0,2,0.507,15.0
2024,7,Lotte Giants,144.0,66.0,74.0,4,0.471,20.0
2024,8,Hanwha Eagles,144.0,66.0,76.0,2,0.465,21.0
2024,9,NC Dinos,144.0,61.0,81.0,2,0.43,26.0
2024,10,Kiwoom Heroes,144.0,58.0,86.0,0,0.403,30.0
2025,1,LG Twins,144.0,85.0,56.0,3,0.603,0.0
2025,2,Hanwha Eagles,144.0,83.0,57.0,4,0.593,1.5
2025,3,SSG Landers,144.0,75.0,65.0,4,0.536,9.5
2025,4,Samsung Lions,144.0,74.0,68.0,2,0.521,11.5
2025,5,NC Dinos,144.0,71.0,67.0,6,0.514,12.5
2025,6,KT Wiz,144.0,71.0,68.0,5,0.511,13.0
2025,7,Lotte Giants,144.0,66.0,72.0,6,0.478,17.5
2025,8,Kia Tigers,144.0,65.0,75.0,4,0.464,19.5
2025,9,Doosan Bears,144.0,61.0,77.0,6,0.442,22.5
2025,10,Kiwoom Heroes,144.0,47.0,93.0,4,0.336,37.5
